id,text,source,created_at,place
8.22957E+17,@WhiteHouse @realDonaldTrump @POTUS #MAGA!!! #TRUMP2016!!!,Twitter for Android,1/21/17 23:58,
8.22957E+17,This protesting stuff is getting real old. He's our president. Respect it and get over it ya bunch of snowflakes. #MAGA _Ùà__Ùàü,Twitter for iPhone,1/21/17 23:58,"Culpeper, VA"
8.22957E+17,"Because they are the LunaticFringe AltLeft.First they need to be stopped, then marginalized and disgraced.‰Û_ https://t.co/iWHhQBoUTc",Twitter Web Client,1/21/17 23:58,
8.22956E+17,The reporting of the #Inauguration numbers aren't #fakenews. @seanspicer making it a topic is embarrassing. #RealNews #WomensMarch #MAGA,Twitter for iPad,1/21/17 23:58,
8.22956E+17,That's dark nazi talk according to #DishonestFakeNewsMSM &amp; delusional loser BillKristol #MAGA https://t.co/D4bFpviN89,Twitter for Android,1/21/17 23:58,
8.22956E+17,"@LauraJSilverman @HRCJailCell that's ok to promote racism, further dividing the country. You #libtards really are confused #MAGA",Twitter for iPhone,1/21/17 23:58,
8.22956E+17,"Some day years from now @seanspicer will remember his time in the WH - correcting tweets, scolding the press and ye‰Û_ https://t.co/RPd92V75eM",Twitter for iPhone,1/21/17 23:57,
8.22956E+17,"Yes, Chief Constipation relies on her piehole for the nasty! #draintheswamp and #MAGA https://t.co/piZCMRItuo",Twitter for Android,1/21/17 23:57,
8.22956E+17,@seanspicer great job love that the #MSM is being held accountable! God bless America @POTUS @VP #MAGA one day and one law at a time,Twitter for iPhone,1/21/17 23:57,
8.22956E+17,Isn't close to the popular vote total she has over @potus....and it means what? @potus is @potus...haters gonna hat‰Û_ https://t.co/aglhHldciT,Twitter for Android,1/21/17 23:57,
8.22956E+17,"@emptywheel I may be postponing my #MAGA shirt order, then. https://t.co/7vpEmu0Hf2",Tweetbot for iëÙS,1/21/17 23:57,
8.22956E+17,"https://t.co/IIag2CVPZC here comes the madness #MAGA Woman's March led by Linda Sarsour, Islamist. #LeftistAgenda #LiberalLogic Ashley Judd",Twitter Web Client,1/21/17 23:57,
8.22956E+17,"@SenSanders #1) It's Obama who divided us... if you say @realDonaldTrump brought us together, Mission Accomplished! #MAGA",Twitter for iPhone,1/21/17 23:57,
8.22956E+17,Sleeping at work https://t.co/LMZNsb9jWT #TrumpTransition #PresidentElectTrump #MAGA #privacy,Tweet Old Post,1/21/17 23:57,
8.22956E+17,@TomiLahren feels good! First step in problem resolution is to admit that there is a problem! #MAGA,Twitter for iPhone,1/21/17 23:57,
8.22956E+17,President Trump's #Inauguration speech - 'It means the return of optimism' https://t.co/tNoLkHWrXC via @DCExaminer #MAGA #tcot #tlot #tpot,Twitter Web Client,1/21/17 23:57,
8.22956E+17,AMEN!  #MAGA  @mike_pence  @realDonaldTrump https://t.co/QNPcsqs3Wi,Twitter Web Client,1/21/17 23:57,
8.22956E+17,"Killing Kid can not be a right. Who are we - criminals ?Go @POTUS #MAGA https://t.co/VuNQRDCwjl",Twitter Web Client,1/21/17 23:57,
8.22956E+17,"""The awkward moment when u realize the organizer of the #WomensMarch is 4 Sharia Law, which is the exact opposite o‰Û_ https://t.co/ZHUsjjR1Cy",Twitter for iPhone,1/21/17 23:57,"Tulsa, OK"
8.22956E+17,@ANOMALY1 #Madonna last call ! Stop talking shit! Dont miss the flight! #PresidentTrump have no time 4 your shit! #MAGA,Twitter for Android,1/21/17 23:57,
8.22956E+17,Anti-#Trump Protestor Lights A Girl's Hair On Fire! https://t.co/OsTbfl1MxP #maga #protests,Twitter Web Client,1/21/17 23:57,
8.22956E+17,@sunkfarmer why don't you redcoats worry about your own shit instead of #trump #MAGA,Twitter for iPhone,1/21/17 23:57,
8.22956E+17,"The media lies lies lies, it never ends! #MAGA",Twitter Web Client,1/21/17 23:57,
8.22956E+17,ATTENTION MSM!  You need to EARN our trust back.  Report the facts and leave off YOUR AGENDA!  #CCOT #TCOT #MAGA‰Û_ https://t.co/8jJzd9hM3W,Twitter Web Client,1/21/17 23:57,
8.22956E+17,"The Ugly Truth: What Concentration Camps Did In 12 Years, Abortions Do In‰Û_ https://t.co/0zR6cqly4I #Uncategorized‰Û_ https://t.co/S5FUCKlATE",dlvr.it,1/21/17 23:57,
8.22956E+17,Absolutely @realDonaldTrump I'm with u all the way! #WeThePeople will help u do anything #MAGA https://t.co/lWhaQiRLDW,Twitter for iPhone,1/21/17 23:57,
8.22956E+17,If press is not held accountable we will continue to get these stupid marches like today all because of distorted n‰Û_ https://t.co/1NnHOJRt1m,Twitter for Android,1/21/17 23:57,
