location,crowd-low-estimate,crowd-high-estimate,mean-high-low,source,Latitude,Longitude
"Abilene, TX",200,200,200,http://www.reporternews.com/story/news/local/2017/01/21/hundreds-march-abilene-city-hall-womens-rights/96858224/,32.576489,-99.665323
"Accident, MD",54,54,54,Twitter; on-site witness ,39.6287,-79.31976
"Adak, AK",10,10,10,adn.com,0,0
"Adrian, MI",130,150,140,https://www.facebook.com/events/847360115406578/,41.889943,-84.065892
"Ajo, AZ",250,250,250,https://www.facebook.com/plugins/post.php?href=https%3A%2F%2Fwww.facebook.com%2Fwomenactnow%2Fposts%2F316622398732847&width=500,32.38489,-112.89011
"Alameda, CA",8,8,8,FB,37.770563,-122.264779
"Alamosa, CO",350,350,350,https://twitter.com/zepol/status/823234973935239172,37.479933,-105.790967
"Albany, CA",500,500,500,https://twitter.com/ben_silverman/status/823032391841132545,42.614852,-73.970812
"Albany, NY","7,000","9,000",8000,http://www.timesunion.com/local/article/Albany-activists-Inaugurate-Resistance-on-10873758.php,42.614852,-73.970812
"Alexandria, VA",17,17,17,https://twitter.com/TinaPStacy/status/823226044643680257,38.819853,-77.059645
"Albuquerque, NM","3,000","20,000",11500,http://www.koat.com/article/thousands-fill-civic-plaza-for-womens-rally/8626736,35.199592,-106.644831
"Almanor West, CA",4,4,4,eyewitness; picture,44.984663,-93.542233
"Alpine, TX",96,96,96,https://twitter.com/sarahmvasquez/status/823189717659176960,32.810624,-116.710667
"Amarillo, TX",600,600,600,https://www.texastribune.org/2017/01/21/thousands-expected-participate-texas-womens-marche/,35.20603,-101.839602
"Amelia Island, FL",700,"1,300",1000,http://www.firstcoastnews.com/news/womens-march-makes-its-way-to-the-first-coast/389706372,42.27179,-88.188464
"Anacortes, WA",,,,http://www.goskagit.com/skagit/hundreds-participate-in-anacortes-women-s-march/article_4117590e-285b-565e-acd0-1ea4e7826160.html,48.499172,-122.607111
"Anchorage, AK","2,000","3,000",2500,https://www.adn.com/alaska-news/2017/01/21/large-crowd-attends-womens-march-on-anchorage-in-solidarity-with-national-events/,61.220018,-149.855702
"Ann Arbor, MI","11,000","11,000",11000,http://www.mlive.com/news/ann-arbor/index.ssf/2017/01/more_than_6000_flood_streets_o.html,42.266638,-83.849042
"Annapolis, MD","1,600","1,600",1600,http://www.capitalgazette.com/news/annapolis/ph-ac-cn-annapolis-womens-march-0122-20170121-story.html,38.98775,-76.5528
"Arlington, VA",,,,,32.635563,-97.148829
"Asbury Park, NJ","6,000","6,000",6000,https://twitter.com/JuliaJHobbs/status/822955160116793344,40.250725,-74.048582
"Asheville, NC","7,000","10,000",8500,http://wlos.com/news/local/photo-gallery-the-womens-march-on-asheville,35.602711,-82.567281
"Ashland, OR","6,000",8000,7000,http://www.mailtribune.com/news/20170121/voices-from-crowd,38.473824,-82.647933
"Aspen, CO","1,000",1000,1000,https://twitter.com/SarahGoTrillIum/status/823018327316566016,39.169324,-106.776744
"Astoria, OR",100,1000,550,http://www.dailyastorian.com/Local_News/20170121/hundreds-march-in-astoria-to-counter-trump,46.142206,-123.795996
"Athens, GA",700,5000,2850,http://onlineathens.com/slideshow/2017-01-21/photos-athens-womens-march#slide-1,40.605382,-73.755133
"Atlanta, GA","60,000",63000,61500,http://www.ajc.com/news/state--regional-govt--politics/new-police-estimate-000-atlanta-the-march-continues-the-capitol/PlaULPX2mykkjcHk799zLP/,33.844371,-84.47405
"Augusta, GA",600,600,600,http://chronicle.augusta.com/news/2017-01-21/hundreds-participate-augusta-solidarity-march,44.351642,-69.803773
"Augusta, ME","10,000",10000,10000,http://bangordailynews.com/2017/01/21/news/state/marchers-flock-to-maine-cities-to-stand-up-to-trump/,44.351642,-69.803773
"Austin, TX","30,000","50,000",40000,"http://kut.org/post/tens-thousands-participate-womens-march-austin
",30.326374,-97.771258
"Avalon, CA",44,44,44,https://twitter.com/lisakate111/status/823018370094071808,33.34281,-118.32785
"Bainbridge Island, WA",,,,,47.647774,-122.538016
"Baltimore, MD","5,000",5000,5000,http://www.baltimoresun.com/news/maryland/bs-md-baltimore-sister-march-20170121-story.html,39.296536,-76.623489
"Bandon, OR",70,70,70,FB,34.485476,-92.585282
"Bayfield, WI",427,427,427,FB,37.22556,-107.59811
"Beaumont, TX",300,300,300,FB,30.073712,-94.109705
"Beaver, PA",100,130,115,onsite eyewitness; headcount,40.69534,-80.30478
"Bellingham, WA","5,000",6000,5500,https://t.co/iyjFHSXHEq,48.754092,-122.508129
"Bemidji, MN",250,500,375,http://www.mprnews.org/story/2017/01/21/photos-around-minnesota-women-and-men-march-for-womens-rights,47.571964,-94.801272
"Bend, OR","5,000","5,000",5000,http://www.ktvz.com/news/thousands-march-in-bend-to-protest-trump-policies/284779764,0,0
"Bentonville, AR",300,600,450,onsite eyewitness; headcount,36.347107,-94.223419
"Berkeley, CA",200,"1,000",600,http://www.dailycal.org/2017/01/21/berkeley-community-joins-millions-around-world-participating-womens-marches/,37.860576,-122.29673
"Bethel, AK",40,80,60,https://www.adn.com/slideshow/visual/2017/01/21/thousands-hit-the-streets-for-womens-march-events-in-alaska/,47.536048,-122.578944
"Bethlehem, PA",500,500,500,http://www.mcall.com/news/breaking/mc-women--march-20170121-story.html,40.58883,-75.351958
"Bettendorf, IA",800,800,800,http://www.ourquadcities.com/news/qc-equality-rally-packs-local-union-hall/643846922,41.52448,-90.51569
"Beverly Hills, CA",,,,,33.786594,-118.298662
"Binghamton, NY","2,000","3,000",2500,FB,42.165629,-75.890685
"Birmingham, AL","5,000",10000,7500,http://www.al.com/news/birmingham/index.ssf/2017/01/thousands_parade_through_birmi.html#incart_river_mobileshort_home,33.456412,-86.801904
"Bishop, CA",600,600,600,FB,37.491769,-118.389367
"Bismarck, ND",500,500,500,http://www.grandforksherald.com/news/4203619-larger-expected-nd-capitol-womens-march-calls-solidarity,46.816035,-100.700296
"Black Mountain, NC",400,400,400,FB,35.6179,-82.32123
"Bluff, UT",,,,,47.615471,-122.207221
"Bloomsburg, PA",40,60,50,https://twitter.com/MzHokie/status/823054470728810496,41.005609,-76.430563
"Boise, ID","5,000",5000,5000,http://www.idahostatesman.com/news/local/article127913309.html,34.146146,-86.146749
"Borrego Springs, CA",140,150,145,onsite eyewitness who did headcount,33.23943,-116.35607
"Boston, MA","175,000","175,000",175000,http://whdh.com/news/175000-rally-on-boston-common-for-womens-march/,42.370567,-71.026964
"Bozeman, MT",,,,https://twitter.com/MadamHerpadurp/status/823031787211235328,45.82641,-110.898799
"Breen, CO",1,1,1,via email (JP),40.605382,-73.755133
"Brighton, MI",300,300,300,Livingston Daily Press & Argus,39.942984,-104.786597
"Brattleboro, VT",250,250,250,FB,40.202113,-74.012581
"Brookings, OR",,,,,44.355091,-96.762102
"Brownsville, TX",300,390,345,http://www.brownsvilleherald.com/news/local/article_f670f8cc-e037-11e6-b9b5-9398a778b088.html,25.963264,-97.550453
"Brunswick, ME",300,300,300,Press Herald,41.23811,-81.8418
"Buffalo, NY","2,500","3,000",2750,http://www.wgrz.com/mb/news/local/hundreds-gather-in-buffalo-for-womens-march/389611887,42.89606,-78.886424
"Burbank, CA",300,300,300,myburbank.com,34.200993,-118.292773
"Burns, OR",20,20,20,FB,40.605382,-73.755133
"Burnsville, NC",,,,,25.963264,-97.550453
Cambridge,22,22,22,FB,42.380442,-71.132947
"Canton, NY",135,135,135,https://twitter.com/matt_carotenuto/status/823121233659174912,40.782408,-81.371185
"Cape Henlopen, DE",250,250,250,http://www.capegazette.com/article/peaceful-march-along-lewes-beach-takes-stand-women’s-rights/124227,0,0
"Carbondale, CO",200,650,425,http://www.postindependent.com/priority/main-carousel/women-march-in-colorado-dc-around-world-to-resist-trump/,37.739004,-89.209109
"Carbondale, IL","1,000","1,000",1000,http://thesouthern.com/news/local/communities/carbondale/hundreds-gather-in-carbondale-to-march-for-human-rights/article_616ca5a9-dd07-57da-9a8e-ee3a9317bd05.html,37.739004,-89.209109
"Carmel, CA",,,,,39.962604,-86.174761
"Casper, WY",700,"1,000",850,https://pitchengine.com/oilcity/2017/01/21/caspers-womens-march--from-above/002519172678172300726,42.859875,-106.312561
"Cedaredge, CO",,,,,38.90165,-107.92645
"Champaign, IL","5,000","5,800",5400,http://www.news-gazette.com/news/local/2017-01-21/womens-march-champaign.html,40.10789,-88.244266
"Charleston, SC","2,000","2,000",2000,http://www.postandcourier.com/news/unity-activism-and-empowerment-at-charleston-women-s-march-where/article_34b81c38-dffb-11e6-9c2e-f30b0dc420c4.html,32.780326,-79.940844
"Charleston, WV","2,800","3,000",2900,http://www.wvgazettemail.com/news-politics/20170121/nearly-3000-march-for-women-at-wv-capitol,32.780326,-79.940844
"Charlotte, NC","10,000","10,000",10000,http://www.charlotteobserver.com/news/local/article127914684.html,35.26002,-80.804151
"Charlottesville, VA","2,500","2,500",2500,FB,38.026588,-78.48045
"Chattanooga, TN","1,000","3,000",2000,http://www.timesfreepress.com/news/local/story/2017/jan/21/women-march-chattanooga-protest-trump-election/408743/,35.017818,-85.206426
"Chelan, WA",400,470,435,local media reported via Google form,47.876985,-120.07775
"Chesapeake Bay, MD",1,1,1,FB,35.7423,-90.56233
"Cheyenne, WY","1,500","2,000",1750,http://kgab.com/1500-2000-turn-out-for-cheyenne-womens-march/,41.092356,-104.936269
"Chicago, IL","250,000","250,000",250000,http://www.chicagotribune.com/news/ct-womens-march-chicago-0122-20170121-story.html,41.88531,-87.62213
"Chico, CA","1,000","3,000",2000,FB,39.746159,-121.840083
"Chillicothe, OH","1,000","1,000",1000,https://twitter.com/JeffTClinton/status/822999960765530113,39.337384,-82.991332
"Cincinnati, OH","5,000","10,000",7500,http://www.wlwt.com/article/thousands-fill-washington-park-as-part-of-nationwide-equal-rights-movement/8625720,39.166759,-84.53822
"Clare, MI",24,24,24,http://www.themorningsun.com/general-news/20170121/hope-strength-unity-topics-at-the-clare-peoples-rally,32.928037,-97.283914
"Clemson, SC",500,500,500,http://www.independentmail.com/story/news/local/south-carolina/2017/01/21/clemson-march-draws-500-support-womens-rights/96886286/,34.681567,-82.815832
"Cleveland, OH","15,000",15000,15000,http://www.cleveland.com/metro/index.ssf/2017/01/womens_march_on_cleveland_a_vo.html#incart_big-photo,41.489381,-81.667486
"Cobb, CA",2,2,2,FB,38.100081,-91.368908
"Cobleskill, NY",300,300,300,FB,42.67785,-74.48542
"Cody, WY",500,500,500,Colorado Springs Gazette,0,0
"College Station, TX",50,50,50,http://www.kbtx.com/content/news/College-Station-group-holds-womens-march--411430985.html,30.609093,-96.325984
"Colorado Springs, CO","7,000",7000,7000,http://gazette.com/thousands-march-in-colorado-springs-in-protest-a-day-after-president-trumps-inauguration/article/1594846,38.993867,-105.508319
"Columbia, MO","3,000",3604,3302,Missourian,33.987454,-81.024864
"Columbia, SC","2,000",2000,2000,http://www.heraldonline.com/latest-news/article127939199.html,33.987454,-81.024864
"Columbus, OH",,,,http://wksu.org/post/womens-march-columbus-draws-thousands-people#stream/0,33.987454,-81.024864
"Compton, CA",,,,,33.874815,-118.240208
"Concord, NH","6,000",6000,6000,https://twitter.com/LenStuart/status/822934229671673861,37.953672,-122.022872
"Conover, WI",1,1,1,FB,35.740848,-81.209458
"Cooperstown, NY",200,200,200,http://www.allotsego.com/women-allies-march-across-otsego-county/,42.714065,-74.890929
"Coos Bay, OR",200,200,200,http://theworldlink.com/news/local/hundreds-rally-at-women-s-march-in-downtown-coos-bay/article_997db7f0-b921-5aef-8e37-5945831c8400.html,43.215143,-124.198358
"Copper Harbor, MI",19,19,19,https://twitter.com/LlrCandy/status/823050874305921024,47.46694,-87.875
"Cordova, AK",108,114,111,onsite eyewitness who did headcount,35.13851,-89.760016
"Corpus Christi, TX",24,24,24,http://www.kristv.com//story/34315427/corpus-christi-womens-march#.WIRF0H0kfZo.twitter,27.797802,-97.399067
"Cortez, CO",400,504,452,http://www.cortezjournal.com/article/20170121/NEWS01/170129975/400-march-through-snow-in-Cortez-unity-demonstration,37.373594,-108.662826
"Corvallis, OR",100,100,100,FB,44.639931,-123.275969
"Crested Butte, CO",350,400,375,https://twitter.com/jcgreenfield/status/823228054864596993,38.880713,-106.94868
"Crestone, CO",1,1,1,FB,41.049896,-94.347137
"Dallas, TX","5,000",8000,6500,http://www.dallasnews.com/news/dallas/2017/01/21/watch-dallas-womens-march-kicks-downtown,32.781179,-96.790329
"Dayton, OH","3,000",3000,3000,http://www.mydaytondailynews.com/news/local/thousands-rally-dayton-part-women-march-events/ZlU3xaMQAph01LyLEZPs4H/,39.750471,-84.268593
"Daytona Beach, FL",100,100,100,http://www.news-journalonline.com/news/20170121/signs-of-solidarity-women-take-part-locally-in-two-sister-marches,29.194,-81.047652
"Decorah, IA",300,800,550,onsite eyewitness who did headcount,33.853945,-84.215369
"Delhi, NY",50,120,85,instagram #delhiny,37.429369,-120.762047
"Deming, NM",45,50,47.5,http://www.demingradio.com/news/local-group-marches-in-solidarity-with-womens-march-on-washington,32.079682,-107.683073
"Denton, TX","2,500",2800,2650,http://www.dentonrc.com/local-news/local-news-headlines/20170121-divided-nation-united-denton.ece,33.220974,-97.146038
"Denver, CO","200,000",200000,200000,https://twitter.com/DenverChannel/status/822879895487475712 ,39.726303,-104.856808
"Des Moines, IA","26,000","26,000",26000,http://whotv.com/2017/01/21/thousands-rally-at-iowa-state-capitol-for-womens-march-against-trump/,41.672687,-93.572173
"Detroit, MI",4000,4000,4000,http://www.detroitnews.com/story/news/local/detroit-city/2017/01/21/thousands-march-detroit-opposing-trump-presidency/96880054/,42.347021,-83.060184
"Douglas-Saugatuck, MI","1,200","2,500",1850,via email JP,36.413662,-96.168498
"Doylestown, PA","1,000","1,000",1000,https://twitter.com/JimAleski/status/823025384748974080,40.31011,-75.12989
"Driggs, ID","1,000","1,000",1000,http://planetjh.com/2017/01/21/in-pictures-the-womens-march-on-jackson/,43.713752,-111.158402
"Dubuque, IA",400,400,400,channel 13 whotv.com,42.545412,-90.6963
"Duluth, MN","1,500","1,500",1500,Duluth News Tribune,47.005566,-92.001934
"Durango, CO","1,000","1,000",1000,FB,37.318364,-107.880367
"Eagle Pass, TX",,,,,28.781057,-100.312766
"East Haddam, CT",500,500,500,https://twitter.com/ColleenFree/status/823159668541366273,33.963346,-118.018121
"Eastport, ME",70,70,70,FB,41.813429,-71.363348
"Eastsound, WA",,,,,38.644405,-90.140016
"Eau Claire, WI",250,250,250,http://www.weau.com/content/news/Hundreds-march-in-Eau-Claire-to-support-Womens-March-411425375.html,44.75653,-91.473097
"El Paso, TX","1,000","2,000",1500,https://twitter.com/AdriaKFOX_CBS/status/822987688689078272,31.763608,-106.484592
"Elgin, IL",200,"1,000",600,The Courier News,42.034492,-88.238396
"Elkton, OR",,,0,,39.56186,-75.87574
