location,crowd-low-estimate,crowd-high-estimate,mean-high-low,source,Latitude,Longitude
"Nevada City, CA",100,100,100,http://www.theunion.com/news/local-news/group-gathering-in-nevada-city-in-support-of-marchers-worldwide/,39.331093,-116.615147
"New Bern, NC",300,600,450,https://twitter.com/UncleIllya/status/823023824253964288,35.125849,-76.977181
"New Haven, CT",200,200,200,http://www.newhavenindependent.org/index.php/archives/entry/local_march/,41.365709,-72.927507
"New Orleans, LA","10,000","10,000",10000,http://www.theadvocate.com/new_orleans/news/article_b6a63598-e002-11e6-9066-575bd82cb3da.html,29.958304,-90.077
"New Smyrna Beach, FL","1,000","1,000",1000,http://www.news-journalonline.com/news/20170121/signs-of-solidarity-women-take-part-locally-in-two-sister-marches,28.951931,-81.033705
"New York, NY","400,000","500,000",450000,https://twitter.com/amNewYork/status/822978182315999233,40.68863,-74.018244
"Newark, DE","1,200","1,200",1200,https://twitter.com/Happy_Dem/status/822998092941291521,40.736101,-74.22509
"Newark, NJ","1,000","1,000",1000,FB,40.736101,-74.22509
"Newport, OR","1,500","1,500",1500,http://www.newportnewstimes.com/v2_news_articles.php?heading=0&story_id=54234&page=86,41.487552,-71.327084
"Nome, AK",100,100,100,https://twitter.com/frostlaur/status/822937152526827521,64.50111,-165.40639
"Norfolk, VA","2,000","2,000",2000,http://pilotonline.com/news/local/sister-marches-draw-thousands-to-downtown-norfolk-to-support-women/article_491f897c-2be6-5968-9f8a-2df7250a0184.html,36.895911,-76.208521
"Northampton, MA","1,000","2,500",1750,http://www.gazettenet.com/Northampton-Women-s-March-7616557,42.321488,-72.630588
"Oakhurst, CA",200,200,200,http://www.fresnobee.com/news/local/article128014199.html,40.261158,-74.021382
"Oakland, CA","60,000","100,000",80000,@oaklandpoliceca,37.786027,-122.223779
"Oak Ridge, TN",450,550,500,onsite eyewitness (estimated based on # buttons/flyers distributed),36.019381,-84.243175
"Ocala, FL",100,200,150,https://www.youtube.com/watch?v=Yu7OYoX1Xqs,29.198907,-82.087425
"Ocean City, MD",100,100,100,http://www.wmdt.com/news/maryland/hundreds-show-their-support-in-ocs-womens-march/284828523,33.016928,-116.846046
Ocean Shores,120,120,120,FB,47.071971,-124.152461
"Ocracoke, NC",108,108,108,https://twitter.com/jcgreenfield/status/823321395904004096,35.12803,-75.91538
"Ogden, UT",300,300,300,http://www.sltrib.com/news/4847223-155/ogden-women-join-those-across-the,41.244261,-112.007924
"Oklahoma City, OK","12,000","12,000",12000,http://www.oudaily.com/news/women-s-march-on-oklahoma-draws-more-than-participants-to/article_80574326-e03c-11e6-b82e-fbc64b811c6c.html,35.590051,-97.486815
"Old Saybrook, CT",,,0,,41.300448,-72.389129
"Olympia, WA","10,000","10,000",10000,http://www.theolympian.com/news/local/article127924384.html,46.984767,-122.869079
"Omaha, NE","12,000","14,000",13000,http://www.omaha.com/news/politics/women-s-march-fills-omaha-streets-to-send-a-message/article_5de6469e-58ff-5e39-b4de-290a99e01a26.html,41.291736,-96.171104
"Oneonta, NY",500,500,500,http://www.allotsego.com/women-allies-march-across-otsego-county/,42.461688,-75.096727
"Onley, VA",50,50,50,http://www.ask4direct.com/InfoRead.asp?id=WESR&InfoID=1028534,42.370456,-98.665685
"Ontario, CA",200,200,200,http://www.pe.com/articles/san-823719-bernardino-participated.html,34.839964,-115.967051
"Orange County, CA",,,,"See Santa Ana, CA",33.640302,-117.769442
"Orlando, FL","3,000","3,000",3000,http://www.orlandosentinel.com/news/os-lake-eola-womens-march-20170121-story.html,28.545179,-81.373291
"Oxford, MS",450,450,450,http://thedmonline.com/hundreds-gather-oxfords-womens-march/,39.479227,-84.68575
"Pacifica, CA","1,200","1,200",1200,FB,37.616774,-122.480015
"Palm Desert, CA","1,000","1,000",1000,FB,33.76437,-116.339766
"Palm Springs, CA",600,600,600,FB,33.842567,-116.527996
"Palmdale, CA",24,24,24,http://www.twcnews.com/ca/antelope-valley/news/2017/01/21/protesters-gather-in-antelope-valley-in-support-of-women-s-march-on-washington.html,34.408383,-118.123597
"Palmer, AK",377,377,377,https://www.facebook.com/events/819642308177150/,40.00706,-75.02823
"Park City, UT","8,000","8,000",8000,http://deadline.com/2017/01/sundance-womens-march-attendance-high-chelsea-handler-donald-trump-1201891609/,40.652531,-111.501916
"Panama City, FL",500,500,500,http://www.newsherald.com/news/20170121/hundreds-gather-protest-at-panama-city-womens-march,30.159737,-85.660922
"Paoli, IN",67,67,67,verified through user photo,41.40805,-92.91631
"Pasadena, CA","1,700","1,700",1700,FB,29.83399,-95.434241
"Peoria, IL","1,500","2,000",1750,http://www.centralillinoisproud.com/news/local-news/peoria-rally-in-support-of-womens-march-on-washington/643865167,33.573244,-112.245852
"Pendelton, OR",425,425,425,http://www.eastoregonian.com/eo/local-news/20170121/protestors-pack-pendleton-for-womens-march,45.67208,-118.7886
"Pensacola, FL","2,000","2,000",2000,http://www.pnj.com/story/news/local/pensacola/downtown/2017/01/21/hundreds-brave-rain-join-pensacola-march-women/96795864/,30.428781,-87.222516
"Pence, WI",1,1,1,FB,17.990567,-66.607542
"Pequannock Township / Pompton Plains, NJ",800,"1,000",900,http://www.northjersey.com/story/news/2017/01/21/crowds-gathering-womens-march-protests/96778388/,40.886263,-74.559782
"Philadelphia, PA","50,000","50,000",50000,http://www.philly.com/philly/blogs/real-time/Womens-Marches-in-Washington-DC-and-Philadelphia-Live-updates-Jan-21-2017.html,40.001811,-75.11787
"Phoenix, AZ","20,000","20,000",20000,http://www.azcentral.com/story/news/local/phoenix/2017/01/21/phoenix-womens-march-sister-washington-capitol/96849890/,33.703967,-112.351835
"Pierre, SD",,,,,33.573244,-112.245852
"Pikeville, KY",,100,50,https://twitter.com/sheila_isaac/status/823375791601963008,37.514701,-82.513615
"Pinedale, WY",100,100,100,FB,41.82064,-75.4199
"Pittsburgh, PA","25,000","25,000",25000,http://www.post-gazette.com/local/city/2017/01/21/Pittsburgh-groups-protest-against-Trump/stories/201701210111,40.47441,-79.950968
"Pittsfield, MA","1,500",1500,1500,http://theberkshireedge.com/sister-march-at-colonial-theatre-draws-throngs-from-across-the-berkshires/,42.479475,-73.24807
"Plattsburg, NY",182,182,182,https://twitter.com/elodiemet/status/823227264645132288,44.704021,-73.471148
"Plymouth, WI",200,200,200,http://www.sheboyganpress.com/videos/news/local/2017/01/21/hundreds-attend-million-person-unity-marches-sheboygan-county/96905712/,45.010519,-93.455509
"Pocatello, ID","1,200",1200,1200,http://idahostatejournal.com/members/marchers-show-up-in-droves-for-women-s-march-on/article_fe93fb5e-f29b-5784-bda9-6f66cc342649.html,42.904933,-112.380079
"Port Angeles, WA",100,100,100,FB,48.051108,-123.360411
