City,State,Country,Estimate (low),Estimate (high),Average
Crestone,CO,US,1,1,1
Dallas,TX,US,5000,8000,6500
Dayton,OH,US,3000,3000,3000
Daytona Beach,FL,US,100,100,100
Decorah,IA,US,,,
Delhi,NY,US,,,
Deming,NM,US,,,
Denton,TX,US,2500,2800,2650
Denver,CO,US,200000,200000,200000
Des Moines,IA,US,26000,26000,26000
Detroit,MI,US,4000,4000,4000
Disability (online),,,,,
Douglas-Saugatuck,MI,US,1200,2500,1850
Doylestown,PA,US,1000,1000,1000
Driggs,ID,US,1000,1000,1000
Dubuque,IA,US,400,400,400
Duluth,MN,US,1500,1500,1500
Durango,CO,US,1000,1000,1000
Eagle Pass,TX,US,,,
East Haddam,CT,US,500,500,500
Eastport,ME,US,70,70,70
Eastsound,WA,US,,,
Eau Claire,WI,US,250,250,250
El Paso,TX,US,1000,1000,1000
Elgin,IL,US,200,1000,600
Elkton,OR,US,,,
Ellsworth,ME,US,60,60,60
Ely,MN,US,50,50,50
Ephrata,WA,US,250,250,250
Erie,PA,US,2500,2500,2500
Eugene,OR,US,7000,10000,8500
Eureka,CA,US,2000,80000,41000
Fairbanks,AK,US,1000,1000,1000
Fairfield,IA,US,200,200,200
Fairmont,WY,US,95,95,95
Falmouth,MA,US,1000,1000,1000
Fargo,ND,US,1000,3000,2000
Fayetteville,AR,US,1000,1000,1000
Fernandina Beach,FL,US,1000,1300,1150
Flagstaff,AZ,US,1200,1200,1200
Florence,OR,US,,,
Floyd,VA,US,200,200,200
Forks,WA,US,45,45,45
Fort Wayne,IN,US,1000,1000,1000
Fort Bragg,CA,US,,,
Fort Sumner,NM,US,,,
Fort Worth,TX,US,5000,6000,5500
Francestown,NH,US,134,134,134
Frederick,MD,US,1000,1000,1000
Fredonia,NY,US,,,
Fresno,CA,US,2000,2000,2000
Friday Harbor,WA,US,1500,1500,1500
Gainesville,FL,US,1000,1000,1000
Galesburg,IL,US,100,100,100
Gila,NM,US,1,1,1
Glen Falls,NY,US,1000,1000,1000
Glenwood Springs,CO,US,100,100,100
Gold Canyon,AZ,US,,,
Gouldsboro,ME,US,25,25,25
Grand Forks,ND,US,304,304,304
Grand Junction,CO,US,4500,5000,4750
Grand Rapids,MI,US,300,300,300
Green Bay,WI,US,200,200,200
Green Valley,AZ,US,400,400,400
Greenfield,MA,US,1000,2000,1500
Greensboro,NC,US,3000,6000,4500
Greenville,SC,US,2000,2000,2000
Greenwood,IN,US,,,
Gross Pointe,MI,US,,,
Gualala,CA,US,,,
Gulfport,MS,US,300,300,300
Gustavus,AK,US,105,105,105
Haines,AK,US,150,170,160
Halfway,OR,US,,,
Harrisburg,PA,US,1100,1100,1100
Hartford,CT,US,10000,10000,10000
Hattiesburg,MS,US,,,
Helena,AR,US,2,2,2
Helena,MT,US,10000,10000,10000
Hemet,CA,US,,,
Hilo,HI,US,1500,2200,1850
Hillsborough,NC,US,200,200,200
Homer,AK,US,900,900,900
Honolulu,HI,US,8000,8000,8000
Houghton,MI,US,500,500,500
Houston,TX,US,20000,22000,21000
Hudson,NY,US,1500,3000,2250
Idaho Falls,ID,US,500,500,500
Indiana,PA,US,100,200,150
Indianapolis,IN,US,4000,10000,7000
Inverness,CA,US,5,5,5
Iowa City,IA,US,1000,1000,1000
Ithaca,NY,US,10000,10000,10000
Jackson,NH,US,,,
Jackson,MS,US,750,5000,2875
Jackson Hole,WY,US,1000,1000,1000
Jacksonville,FL,US,2000,3000,2500
Jerome,AZ,US,,,
Jonesborough ,TN,US,1000,1000,1000
Joseph,OR,US,310,310,310
June Lake,CA,US,,,
Juneau,AK,US,1000,1000,1000
Kahului,HI,US,,,
Kalamazoo,MI,US,1000,1000,1000
Kanab,UT,US,175,175,175
Kansas City,MO,US,10000,10000,10000
Kauai,HI,US,2000,2000,2000
